                            time  latitude  ...  locationSource  magSource
   0    2021-09-24T18:57:38.279Z      63.6  ...              ak         ak
   1    2021-09-24T18:48:14.470Z      33.6  ...              ci         ci
   2    2021-09-24T18:42:54.640Z      33.8  ...              ci         ci
   3    2021-09-24T18:42:53.330Z      35.1  ...              ci         ci
   4    2021-09-24T17:55:52.692Z      59.6  ...              ak         ak
   5    2021-09-24T17:44:51.910Z      19.4  ...              hv         hv
   6    2021-09-24T17:43:10.798Z      38.3  ...              nn         nn
   7    2021-09-24T17:42:29.097Z      38.6  ...              nn         nn
   8    2021-09-24T17:39:29.372Z      63.2  ...              ak         ak
   9    2021-09-24T17:37:24.000Z      36.5  ...              nc         nc
  10    2021-09-24T17:36:24.840Z      35.6  ...              ci         ci
  11    2021-09-24T17:31:00.920Z      40.3  ...              nc         nc
  12    2021-09-24T17:25:36.868Z      38.5  ...              nn         nn
  13    2021-09-24T17:15:10.740Z      35.5  ...              ci         ci
  14    2021-09-24T17:08:41.268Z      39.9  ...              nn         nn
 ...                         ...       ...  ...             ...        ...
1019    2021-09-20T08:59:57.470Z      19.2  ...              hv         hv
1020    2021-09-20T08:59:22.700Z      38.8  ...              nc         nc
1021    2021-09-20T08:56:26.290Z      36.6  ...              ci         ci
