                            time  latitude  longitude  ...  locationSource  magSource
   0    2021-09-24T18:57:38.279Z      63.6     -150.7  ...              ak         ak
   1    2021-09-24T18:48:14.470Z      33.6     -116.7  ...              ci         ci
   2    2021-09-24T18:42:54.640Z      33.8     -117.5  ...              ci         ci
   3    2021-09-24T18:42:53.330Z      35.1     -117.1  ...              ci         ci
   4    2021-09-24T17:55:52.692Z      59.6     -153.4  ...              ak         ak
   5    2021-09-24T17:44:51.910Z      19.4     -155.3  ...              hv         hv
   6    2021-09-24T17:43:10.798Z      38.3     -118.7  ...              nn         nn
   7    2021-09-24T17:42:29.097Z      38.6     -119.5  ...              nn         nn
   8    2021-09-24T17:39:29.372Z      63.2     -149.5  ...              ak         ak
   9    2021-09-24T17:37:24.000Z      36.5     -121.2  ...              nc         nc
  10    2021-09-24T17:36:24.840Z      35.6     -117.4  ...              ci         ci
  11    2021-09-24T17:31:00.920Z      40.3     -124.3  ...              nc         nc
  12    2021-09-24T17:25:36.868Z      38.5     -119.5  ...              nn         nn
  13    2021-09-24T17:15:10.740Z      35.5     -118.4  ...              ci         ci
  14    2021-09-24T17:08:41.268Z      39.9     -117.9  ...              nn         nn
  15    2021-09-24T17:06:30.930Z      34.9     -118.8  ...              ci         ci
  16    2021-09-24T16:40:13.897Z      29.6      139.1  ...              us         us
  17    2021-09-24T16:37:30.540Z      41.9     -112.7  ...              uu         uu
  18    2021-09-24T16:29:34.130Z      38.8     -122.7  ...              nc         nc
  19    2021-09-24T16:25:29.960Z      19.2     -155.5  ...              hv         hv
  20    2021-09-24T16:19:46.918Z      38.2     -117.8  ...              nn         nn
 ...                         ...       ...        ...  ...             ...        ...
1019    2021-09-20T08:59:57.470Z      19.2     -155.5  ...              hv         hv
1020    2021-09-20T08:59:22.700Z      38.8     -122.8  ...              nc         nc
1021    2021-09-20T08:56:26.290Z      36.6     -118.0  ...              ci         ci
