                            time  ...  locationSource  magSource
   0    2021-09-24T18:57:38.279Z  ...              ak         ak
   1    2021-09-24T18:48:14.470Z  ...              ci         ci
   2    2021-09-24T18:42:54.640Z  ...              ci         ci
   3    2021-09-24T18:42:53.330Z  ...              ci         ci
   4    2021-09-24T17:55:52.692Z  ...              ak         ak
   5    2021-09-24T17:44:51.910Z  ...              hv         hv
   6    2021-09-24T17:43:10.798Z  ...              nn         nn
 ...                         ...  ...             ...        ...
1019    2021-09-20T08:59:57.470Z  ...              hv         hv
1020    2021-09-20T08:59:22.700Z  ...              nc         nc
1021    2021-09-20T08:56:26.290Z  ...              ci         ci
